,,"1","0000-00-00 00:00:00",
"Almere","mail.almere.nl","0","0000-00-00 00:00:00",
"Almere","opendata.almere.nl","0","0000-00-00 00:00:00",
"Almere","owa.almere.nl","0","0000-00-00 00:00:00",
"Almere","parkeren.almere.nl","0","0000-00-00 00:00:00",
"Almere","plannen.almere.nl","0","0000-00-00 00:00:00",
"Almere","webmail.almere.nl","0","0000-00-00 00:00:00",
"Almere","www.almere.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","access.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","afvalkalender.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","formulieren.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","intranet.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","mail.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","opendata.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","sip.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen aan den Rijn","www.alphenaandenrijn.nl","0","0000-00-00 00:00:00",
"Alphen-Chaam","alphen-chaam.nl","0","0000-00-00 00:00:00",
"Alphen-Chaam","intranet.alphen-chaam.nl","0","0000-00-00 00:00:00",
"Alphen-Chaam","secure.alphen-chaam.nl","0","0000-00-00 00:00:00",
"Alphen-Chaam","www.alphen-chaam.nl","0","0000-00-00 00:00:00",
"Ameland","ameland.nl","0","0000-00-00 00:00:00",
"Ameland","mail.ameland.nl","0","0000-00-00 00:00:00",
"Ameland","secure.ameland.nl","0","0000-00-00 00:00:00",
"Ameland","www.ameland.nl","0","0000-00-00 00:00:00",
"Amersfoort","afspraken.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","extern.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","formulieren.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","m.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","mail.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","mail2.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","redactie.amersfoort.nl","1","0000-00-00 00:00:00",
"Amersfoort","sip.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","webmail.amersfoort.nl","0","0000-00-00 00:00:00",
"Amersfoort","www.amersfoort-kcc.nl","0","0000-00-00 00:00:00",
"Amersfoort","www.amersfoort.nl","0","0000-00-00 00:00:00",
"Amstelveen","amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","bestuur.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","geo.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","parkeren.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","raad.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","redactie.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","webmail.amstelveen.nl","0","0000-00-00 00:00:00",
"Amstelveen","www.amstelveen.nl","0","0000-00-00 00:00:00",
"Amsterdam","amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","beeldbank.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","data.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","formulieren.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","ftp.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","gemeente.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","gemeentearchief.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","intranet.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","kaart.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","loket.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","m.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","mail.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","maps.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","onderhoudspagina.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","os.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","parkeren.amsterdam.nl","0","0000-00-00 00:00:00",
