"10","aaenhunze.nl",,"62.50.4.46","443","2016-03-14","22:51:20","2016-03-14 22:51:20","0","0",,"0","0000-00-00 00:00:00",
"11","sip.aaenhunze.nl","static.kpn.net","217.166.135.131","443","2016-03-14","22:52:22","2016-03-14 22:52:22","C","C",,"0","0000-00-00 00:00:00",
"12","webmail.aaenhunze.nl","static.kpn.net","217.166.135.130","443","2016-03-14","22:53:25","2016-03-14 22:53:25","0","0",,"0","0000-00-00 00:00:00",
"13","www.aaenhunze.nl",,"62.50.4.46","443","2016-03-14","22:54:27","2016-03-14 22:54:27","A-","A-",,"0","0000-00-00 00:00:00",
"14","aalburg.nl",,"91.241.6.25","443","2016-03-14","22:55:30","2016-03-14 22:55:30","0","0",,"0","0000-00-00 00:00:00",
"15","intranet.aalburg.nl",,"91.241.6.24","443","2016-03-14","22:56:32","2016-03-14 22:56:32","A","A",,"0","0000-00-00 00:00:00",
"16","secure.aalburg.nl",,"91.241.6.25","443","2016-03-14","22:57:36","2016-03-14 22:57:36","A","A",,"0","0000-00-00 00:00:00",
"17","www.aalburg.nl",,"91.241.6.25","443","2016-03-14","22:58:39","2016-03-14 22:58:39","0","0",,"0","0000-00-00 00:00:00",
"18","webmail.aalsmeer.nl","a212-238-204-18.adsl.xs4all.nl","212.238.204.18","443","2016-03-14","23:00:43","2016-03-14 23:00:43","0","0",,"0","0000-00-00 00:00:00",
"19","www.aalsmeer.nl",,"91.198.103.237","443","2016-03-14","23:01:46","2016-03-14 23:01:46","C","C",,"0","0000-00-00 00:00:00",
"20","aalten.nl",,"91.213.115.75","443","2016-03-14","23:02:48","2016-03-14 23:02:48","0","0",,"0","0000-00-00 00:00:00",
"21","intranet.aalten.nl",,"91.213.115.77","443","2016-03-14","23:03:51","2016-03-14 23:03:51","A","A",,"0","0000-00-00 00:00:00",
"22","mail.aalten.nl","mail.aalten.nl","194.120.239.26","443","2016-03-14","23:04:54","2016-03-14 23:04:54","0","0",,"0","0000-00-00 00:00:00",
"23","secure.aalten.nl",,"91.213.115.75","443","2016-03-14","23:05:56","2016-03-14 23:05:56","A","A",,"0","0000-00-00 00:00:00",
